Scholarship_Name,Scholarship_Organization,Scholarship_Type,Funding_level,Sponsorship Details,Application form,Application opening month (annual),Application start date,Application deadline,Scholarship slots,For Vietnamese students,Object limitation,List of restricted subjects (if any),Department restrictions,List of specific industries/groups,Required qualifications,Minimum GPA,Ranking requirements / field of study,Required experience,Competencies & Achievements (requirements.competencies),Scholarship renewal conditions,Required documents,Application process,Scholarship link (URL),Notes ,Annual (Yes/No/Unknown),,,,
Inspiring the Outstanding Scholarship (KU Leuven),KU Leuven,University,Full (full tuition waiver + living allowance/others as per annual notice),Full scholarships for all MSc/Advanced MSc programs,Attached is the KU Leuven admission application.,Usually published annually,Unknown,Unknown,Unknown,yes,International applicants,Not stated,,Not stated,Bachelor's degree or equivalent,Not stated,Not stated,Optional,Excellent academic achievements,According to program regulations,Application form + supporting documents,Register for the program and then apply for the scholarship,https://www.kuleuven.be/scholarships/year/2026-2027/inspiring-the-outstanding-scholarship,Specific information updated by school year,Unknown,,,,
KU Leuven ASEAN Scholarship,KU Leuven,University,Full (according to school year announcement),For 1 outstanding candidate from ASEAN (MSc/Advanced MSc),Attach admission documents + registration form,By school year,Unknown,Unknown,Usually 1 seat/year,yes,ASEAN Nationality,ASEAN,,Not stated,Bachelor's degree or equivalent,Not stated,Not stated,Optional,Outstanding Achievement & Motivation,According to the regulations,Application form + scholarship form,According to KU Leuven guidelines,https://www.kuleuven.be/scholarships/year/2025-2026/ku-leuven-asean-scholarship,State the small targets,Unknown,,,,
INEMA with EPOS (DAAD) – International Education Management,DAAD (EPOS) + PH Ludwigsburg & Helwan University,Government,"Monthly allowance, health insurance, air tickets, other support according to EPOS",EPOS sponsors Master's degree in development; joint German-Egyptian INEMA program,Submit via school/DAAD according to EPOS schedule,Annual (EPOS),Unknown,~March 15 (EPOS annual),Limit,yes,Candidates from developing countries,According to EPOS,Prioritize development/education sector,Related Bachelor's degree,Not stated,Development-related priorities,≥2 years of experience (EPOS),Achievement + motivation + experience,According to EPOS (maintain progress),Full EPOS profile,According to INEMA/DAAD guidelines,https://www.ph-ludwigsburg.de/fakultaet-1/institut-fuer-bildungsmanagement/international-educational-leadership-and-management/masters-program-international-education-management,According to EPOS requirement ≥2 years KN,yes, ,,,,
Guillaume Dupaix International Master’s Scholarship,University of Luxembourg (with the Ministry of Foreign Affairs & Ministry of Education of Luxembourg),University,"Significant support + dormitory accommodation (≈€500–€650/month, up to 2 years)",To attract excellent international students to study Masters at UL,Submit online to UL,In batches,Unknown,Unknown,Unknown,yes,International applicants,Not stated,,Not stated,Bachelor's degree or equivalent,Not stated,Not stated,Optional,Academic achievements,According to scholarship regulations,Application + academic records,According to UL,https://www.uni.lu/life-en/financial-support/scholarships/guillaume-dupaix-international-scholarship/,Not cumulative with other grants,yes,,,,
IOE–International Students House Centenary Master’s Scholarship,UCL Institute of Education (UCL) + International Students House,University,Full tuition and accommodation exemption at ISH for 1 year,Excluding other living expenses; there is another Doctoral version with stipend,Submit online according to IOE,By year,Unknown,Unknown,Not stated,yes,International applicants,Not stated,,Industry under IOE,Bachelor's degree or equivalent,Not stated,Not stated,Optional,Achievements + education relevance,As per regulations (maximum 1 year for MSc),Academic profile + essay,According to IOE instructions,https://www.ucl.ac.uk/ioe/about-ioe/our-global-reach/scholarships-and-funding,MSc without stipend; just free + housing,yes,,,,
Think Big Postgraduate Scholarship - University of Bristol,University of Bristol,University,6 pounds,500/£13,000/£26,000 (tuition support),Applicable to first year of MSc; no living expenses included,Online via Bristol,Cyclical,Unknown,10/04/2026 (e.g. year 2026),Not stated,yes,International applicants,Not stated,,Not stated,Bachelor's degree or equivalent,Not stated,Not stated,Optional,Academic Achievement & Motivation,According to the regulations,Application + essay,According to school instructions,https://www.bristol.ac.uk/students/support/finances/scholarships/think-big-scholarships/,Mức giải thưởng cố định theo năm,Có,
GREAT Scholarship,British Council + UK Government + partner universities,Government,At least £10,000 tuition for 1 year MSc,Co-funded by UK Government (GREAT) + British Council + schools,Apply through partner universities (by country/major),Annually,Unknown,Unknown,~200+ seats (whole program),yes,Candidates from target countries,By country,,Bachelor's degree or equivalent,Bachelor's degree or equivalent,Not stated,Not stated,Optional,Academic & Industry Relevance,According to the management school,School application + scholarship form,https://study-uk.britishcouncil.org/scholarships-funding/great-scholarships,Minimum value £10k,yes,,,,
La Trobe Master of Business Analytics Scholarship,La Trobe University,University,50% discount on full course tuition,Applicable to Master of Business Analytics students (2025 batch…),Online with/after admission,In batches,Unknown,Unknown,Not stated,yes,International applicants,Not stated,,Master of Business Analytics,Bachelor's degree or equivalent,Not stated,Not stated,Optional,Academic achievements,As per rules (maintain progress),Academic records + program requirements,Submit as per La Trobe guidelines,https://www.latrobe.edu.au/study/scholarships/other/la-trobe-master-of-business-analytics-scholarship,Apply for specific MBA courses,yes,,,,
La Trobe Vice Chancellor Scholarship,La Trobe University,University,50% or 100% tuition reduction,Prestigious scholarships for excellent international students; ambassadorial role,Online,In batches,Unknown,Unknown,Not stated,yes,International applicants,Not stated,,According to the Master/Bachelor registration program,Bachelor's degree (with Master's degree requiring prior degree),Not stated,Not stated,Optional,Academic excellence & extracurricular activities,According to the regulations,Application + proof of achievement,As directed,https://www.latrobe.edu.au/study/scholarships/other/la-trobe-vice-chancellor-scholarship,50%/100% level,yes,,,,
La Trobe Artificial Intelligence Scholarship,La Trobe University,University,50% tuition discount,Applicable to designated AI courses (from 2025),Online,In batches,Unknown,Unknown,Not stated,yes,International applicants,Not stated,,N/A (depending on AI course),Bachelor's degree or equivalent,Not stated,Not stated,Optional,Academic/Motivation,According to the regulations,Application + admission to AI course,As directed,https://www.latrobe.edu.au/study/scholarships/other/la-trobe-artificial-intelligence-scholarship,Apply AI key list,yes,,,,
Uppsala University – Master’s Scholarships,Uppsala University,University,Full tuition waiver,Not including living expenses; highly competitive,Online,By recruitment season,Unknown,Unknown,Not stated,yes,International applicants must pay tuition fees.,Not stated,,Master's Program at UU,Bachelor's degree or equivalent,Not stated,Not stated,Optional,Academic excellence,According to the regulations,Application + academic records,Submit on UU system,https://www.uu.se/en/study/masters-studies/scholarships,Only tuition free,yes,,,,
Karolinska Institutet – Global Master’s Scholarship,Karolinska Institutet,University,Free tuition,About 10 seats/year; not including living expenses,Online,By recruitment season,Unknown,Unknown,~10 seats/year,yes,International applicants must pay tuition fees.,Not stated,,Global Masters at KI,Bachelor's degree or equivalent,Not stated,Not stated,Optional,Academic excellence,According to the regulations,Application + profile,Attached is the application form.,https://education.ki.se/bachelors-masters-studies/scholarships/the-ki-global-masters-scholarships-for-fee-paying-students,Only tuition free,yes,,,,
Stockholm University – Scholarship Scheme,Stockholm University,University,Full tuition waiver,Not including living expenses,Online,By recruitment season,Unknown,Unknown,Not stated,yes,Non-EU/EEA/CH applicants must pay tuition fees,Not stated,,Master's Program at SU,Bachelor's degree or equivalent,Not stated,Not stated,Optional,Academic excellence,According to the regulations,Application + profile,As directed,https://www.su.se/scholarships,Tuition only,yes,,,,
Linköping University – LiU International Scholarship,Linköping University,University,Tuition reduction (usually 50%),Regulations may be 25/50/75%; requirement to maintain ≥75% of year 1 credits,Online,By recruitment season,Unknown,Unknown,Not stated,yes,Non-EU/EEA/CH applicants must pay tuition fees,Not stated,,Master's Program at LiU,Bachelor's degree or equivalent,Not stated,Not stated,Optional,Academic excellence,Maintain progress to extend,Application + profile,As directed,https://liu.se/en/article/scholarships,Regulations for extending ≥75% of credits,yes,,,,
Tampere University – Scholarships Programme,Tampere University,University,50% tuition fee reduction (depending on the program; Finland Scholarship for year 1 is available for some programs),Scholarships are considered for admission; Finland Scholarship may include a travel allowance,Online,By recruitment season,Unknown,Unknown,Not stated,yes,Non-EU/EEA applicants must pay tuition fees,Not stated,,Master's Program at TAU,Bachelor's degree or equivalent,Not stated,Not stated,Optional,Academics & Motivation,According to the regulations,Application + motivation letter for scholarship,Submit application on Studyinfo,https://www.tuni.fi/en/study-with-us/apply-to-tampere-university/financial-matters/tuition-fees-scholarships,Details of support levels by year,yes,,,,
Aalto University – Scholarship Programme,Aalto University,University,Full tuition exemption (Excellence) or tuition exemption/reduction,Tuition waiver for the standard duration of the MSc degree,Online,By recruitment season,Unknown,Unknown,Not stated,yes,Non-EU/EEA applicants must pay tuition fees,Not stated,,Master's Programs at Aalto,Bachelor's degree or equivalent,Not stated,Not stated,Optional,Academic excellence,According to the regulations,Application + profile,Apply for scholarships during the application process,https://www.aalto.fi/en/international-students/scholarships-study-right-started-on-or-after-1-august-2025,Excellence = 100% tuition,yes,,,,
University of Helsinki – Scholarship Programme,University of Helsinki,University,50% or 100% tuition exemption (depending on the scholarship),Mostly 50% tuition fee waiver; living expenses not included. There is a separate Finland Scholarship fund for some programs.,Online,By recruitment season,Unknown,Unknown,Not stated,yes,Non-EU/EEA applicants must pay tuition fees,Not stated,,Master's at UH,Bachelor's degree or equivalent,Not stated,Not stated,Optional,Academic Excellence & Motivation,Maintain ≥55 ECTS/year to continue,Application + profile,Register with admission documents,https://www.helsinki.fi/en/admissions-and-education/apply-bachelors-and-masters-programmes/tuition-fees-and-scholarship-programme,The official site states 50%/100%,yes,,,,
, ,, , , , , , , , , , , , , , , , , , , , , , , ,,,,
NL Scholarship (Holland Scholarship),Nuffic / Department for Education,Government,Government,"€5,000 (one-time, first year)",Only 1 year support; **does not** include living expenses,Partner schools review and nominate,Q4–Q1,By school,By school,Not stated,yes,Non-EEA students,Non-EEA,Unlimited,UG/PG at NL school participate,Bachelor (Master entry),Not stated,Not stated,Optional,Academic achievements,Not applicable (1 time),Application form + scholarship form,Through the school to participate in the program,https://www.studyinnl.org/finances/nl-scholarship,"Former name: Holland Scholarship; €5,000/year.",Có,,,
Leiden University Excellence Scholarship (LExS) – Leiden University,Leiden University,University,Tuition fee reduction/exemption (level determined by LExS),"Very competitive, about ~25 places/year",Submit with Master's application,Q3–Q1,By admission round,By admission round,~25/year (published estimate),yes,Non-EEA/EFTA applicants,Non-EEA/EFTA,According to the Master's program,Master in Leiden,Bachelor,Not stated,Not stated,Optional,Excellent academic achievements,Maintain progress,HS Master + LExS part,Through the gates of Leiden,https://www.universiteitleiden.nl/en/scholarships/sea/leiden-university-excellence-scholarship-lexs,The school listed ~25 places/year.,yes,,,,
Radboud Scholarship Programme (RSP) – Radboud University,Radboud University,University,Tuition fee reduction + visa fee support,For **non-EU/EEA** Masters in English,Online (with Master profile),Q4–Q1,According to call,According to call,Not stated,yes,Non-EU/EEA,Non-EU/EEA,According to the Master's program at RU,Master at Radboud,Bachelor,Not stated,Not stated,Optional,Excellent academic achievements,Maintain progress,HS Master + scholarship,Through Radboud Gate,https://www.ru.nl/en/education/scholarships/radboud-scholarship-programme,The program is **very selective**.,yes,,,,
VU Fellowship Programme (VUFP) – Vrije Universiteit Amsterdam,VU Amsterdam,University,**100% tuition fee exemption** (can be combined with NL Scholarship),For non-EU/EEA; budget ~€1 million/year to attract excellent students,Online (with Master's profile),Q4–Q1,In batches,In batches,Not stated,yes,Non-EU/EEA,Non-EU/EEA,According to the Master's program at VU,Master at VU Amsterdam,Bachelor,Not stated,Not stated,Optional,Academic excellence,Maintain progress,HS Master + essay (if required),Through the VU gate,https://vu.nl/en/education/more-about/incoming-master-scholarships,There is a track combining NL Scholarship.,yes,,,,
University of Twente Scholarship (UTS) – University of Twente,University of Twente,University,"€3,000–€22,000/year (depending on profile)",For **non-EU/EER** entry to MSc programme,Online (after having student number),Q4–Q1,In batches,"February 1, 2026 (current period)",Not stated,yes,Non-EU/EER,Non-EU/EER,According to the MSc program,Master at UTwente,Bachelor,Not stated,Not stated,Optional,Academics & Motivation,Maintain progress (may consider year 2),HS + essay/additional conditions,Through UTS gate,https://www.utwente.nl/en/education/scholarship-finder/university-of-twente-scholarship/,Scholarship page; form shows deadline **01/02/2026**.,yes,,,,
BI Presidential Scholarship – BI Norwegian Business School,BI Norwegian Business School,University,Free **tuition** (may include annual allowance),For MSc candidates with outstanding academic achievements,Online (with MSc profile),Q3–Q1,According to the selection round,According to the selection round,Not stated,yes,Open globally,,Management/Business (MSc BI),MSc at BI,Bachelor,Not stated,Not stated,Optional,Academic Excellence & Achievements,According to BI regulations,MSc HS + scholarship documents,Through BI gate,https://www.bi.no/en/programmes-and-individual-courses/scholarships/bi-presidential-scholarships/, ,yes,,,,
Bocconi Graduate Merit Awards – Bocconi University,Bocconi University,University,**Full tuition waiver**,Merit Award includes **full tuition & fees waiver**; several supplemental programs available,Automatic review/submission (depending on the year),Q3–Q1,According to the selection round,According to the selection round,Not stated,yes,Open globally,,According to Bocconi's Graduate program,Master at Bocconi,Bachelor,Not stated,Not stated,Optional,Academic excellence,According to Bocconi regulations,Graduate Admissions,According to the Bocconi process,https://www.unibocconi.it/en/current-students/funding/bocconi-graduate-merit-awards, ,yes,,,,
Sciences Po – Emile Boutmy Scholarship (Master),Sciences Po,University,Partial/Full **tuition** (level according to announcement),For **non-EU** applicants applying for a **first time** Masters at Sciences Po,Apply through Sciences Po (in parallel with admission application),Q3–Q1,In batches,In batches,Not stated,yes,Non-EU,Non-EU,According to the program at Sciences Po,Master at Sciences Po,Bachelor,Not stated,Not stated,Optional,Academic & profile fit,According to the regulations,Online HS,Through Sciences Po gate,https://www.sciencespo.fr/students/en/fees-funding/bursaries-financial-aid/emile-boutmy-scholarship/, ,yes,,,,
Politecnico di Milano – Merit Scholarships (PLATINUM/GOLD/SILVER),Politecnico di Milano,University,**100% tuition fee exemption** + allowance (depending on rank),"PLATINUM/GOLD/SILVER: all **full tuition waiver**; may include allowance up to **€10,000/year** (depending on call); administrative fee ~€170",Submit online via **Call for Applications**,Q4–Q1,According to Call,According to Call,Not stated,yes,Open globally,,According to the MSc program at PoliMi,MSc at PoliMi,Bachelor,Not stated,Not stated,Optional,Academic excellence; criteria according to Call,According to Call,HS by Call (PDF),Submit on PoliMi portal,https://www.polimi.it/en/prospective-students/how-much-does-it-cost/scholarships,See **Call 2026–27** (PDF) for rates & conditions.,yes,,,,
University of Bologna – Unibo Action 1 & 2 (International Talents @Unibo),University of Bologna,University,"€6,500 **gross**/year + **full tuition fee waiver**",Applicable to international students entering **2nd cycle** (MSc) a.y. 2025/26; based on GRE & financial conditions,Submit online by call,Q4–Q1,According to Call,According to Call,~30 seats (2025/26),yes,International applicants,Not stated,,According to the 2nd cycle program,Bachelor's degree (or equivalent) (for Laurea Magistrale/2nd cycle programmes),Bachelor,Not stated,Not stated,Optional,Academics + GRE + Finance,According to Call,Online students + proof,According to Unibo portal,https://www.unibo.it/en/study/study-grants-and-subsidies/international-talents-unibo-scholarships-for-international-students,Replaces the old name ‘Unibo Actions 1&2’.,Có,,,
UCL Global Masters Scholarship – University College London,University College London (UCL),University,"£15,000 (1 year) or the published annual UCL rate",Support for **low income** international students; studying full-time at UCL,Apply online (after applying to UCL),Q1–Q2,According to Call,According to Call,~70–100+/year (varies by year),yes,Students pay the **Overseas** fee,Non-UK fee status,Unlimited,Master of Teaching at UCL,Bachelor,Not stated,Not stated,Optional,Financial needs + achievements,According to UCL regulations,Online student + financial proof,Through UCL gate,https://www.ucl.ac.uk/scholarships/ucl-global-masters-scholarship,Target: low income background.,yes,,,,
